ticker,name,market,sector,sub_industry,market_cap_usd_b,source,company_type,turnaround_flag,universe_role,quality_risk_level,risk_flags,review_reason,recommended_next_action
NCLH,Norwegian Cruise Line Holdings Ltd.,US,Consumer Discretionary,Hotels Restaurants,7.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
TECH,Bio-Techne Corporation,US,Health Care,Life Sciences Tools,7.0,SP500,,N,HIGH_RISK_REVIEW,HIGH,HEALTHCARE_EVENT_RISK,SECTOR_VOLATILITY; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B metadata row needs review before scoring,REVIEW_BEFORE_SCORING
MOS,The Mosaic Company,US,Materials,Chemicals,7.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
POOL,Pool Corporation,US,Consumer Discretionary,Distributors,7.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
CAG,Conagra Brands Inc.,US,Consumer Staples,Food Products,7.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
CPB,The Campbell's Company,US,Consumer Staples,Food Products,6.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
EPAM,EPAM Systems Inc.,US,Information Technology,IT Services,5.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
ASML,ASML Holding N.V.,US,Information Technology,Semiconductor Equipment,597.0,NDX_ADR,BIG_TECH_AI_INFRA,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
ARM,Arm Holdings plc,US,Information Technology,Semiconductors,235.0,NDX_ADR,BIG_TECH_AI_INFRA,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
PDD,PDD Holdings Inc.,US,Consumer Discretionary,Broadline Retail,141.0,NDX_ADR,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
SHOP,Shopify Inc.,US,Information Technology,Software,123.0,NDX_ADR,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
MELI,MercadoLibre Inc.,US,Consumer Discretionary,Broadline Retail,79.0,NDX_ADR,,N,CORE,LOW,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
MSTR,Strategy Inc,US,Information Technology,Software,62.0,NDX,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
FER,Ferrovial N.V.,US,Industrials,Construction & Engineering,48.0,NDX_ADR,,N,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
